"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","Q_RelevantIDLastStartDate","Informed.Consent","Screening2","Screening3","Screening1","Q491","Demographics...Q1","Controls...Q3","Demographics...Q2","Demographics...Q2_6_TEXT","Demographics...Q3","Demographics...Q4","Demographics...Q5","Demographics...Q6","Q492","Q493_NPS_GROUP","Q493","Disaster...Q0","Disaster...Q1","Disaster...Q1_15_TEXT","Q440","Disaster...Q3","Disaster...Q6","Q467","Q467_4_TEXT","Disaster...Q7A","Disaster...Q7B","Disaster...Q7C","Disaster...Q8","Q468","Q468_4_TEXT","Disaster...Q9A","Disaster...Q9B","Disaster...Q9C","Q493.1","Home...Q1","Home...Q10","Controls...Q2B_NPS_GROUP","Controls...Q2B","Controls...Q2C","Home...Q3","Home...Q4","Home...Q5","Home...Q6A","Home...Q6","Home...Q7_4","Home...Q9","Knowledge...Q2","Knowledge...Q1","Attention1","Knowledge...Q5A","Knowledge...Q5B","Knowledge...Q5C","Knowledge...Q6A_4","Knowledge...Q6B","Knowledge...Q6C","Control...Q1","Control...Q2","Control...Q3","Control...Q4","Q113","Q114","Q115","Q116","Q117","Q323_1","Q324_1","Treated...Q1","Treated...Q2","Treated...Q3","Treated...Q4","Q125","Q126","Q127","Q128","Q129","Controls...Q1_NPS_GROUP","Controls...Q1","Controls...Q4_NPS_GROUP","Controls...Q4","Q279_NPS_GROUP","Q279","Literacy...Q2","Controls...Q5","Controls...Q6","Preference...Q3","Attention_1","Attention_2","Hypothetical...Q1A_NPS_GROUP","Hypothetical...Q1A","Q305","Q441_1","Hypothetical...Q2B_NPS_GROUP","Hypothetical...Q2B","Hypothetical...Q2BB","Q446_1","Q471","Hypothetical...Q2C_NPS_GROUP","Hypothetical...Q2C","Hypothetical...Q2CC","Q447_1","Q472","Hypothetical...Q2D_NPS_GROUP","Hypothetical...Q2D","Hypothetical...Q2DD","Q448_1","Q473","Q461_NPS_GROUP","Q461","Q462","Q463_1","Q474","Q464_NPS_GROUP","Q464","Q465","Q466_1","Q475","Q467_NPS_GROUP","Q467.1","Q468.1","Q469_1","Q476","Hypothetical...Q1B_NPS_GROUP","Hypothetical...Q1B","Hypothetical...Q1BB","Hypothetical...Q1BBB_1","Hypothetical...Q1C_NPS_GROUP","Hypothetical...Q1C","Hypothetical...Q1CC","Q443_1","Hypothetical...Q1D_NPS_GROUP","Hypothetical...Q1D","Hypothetical...Q1DD","Q444_1","Q452_NPS_GROUP","Q452","Q453","Q454_1","Q455_NPS_GROUP","Q455","Q456","Q457_1","Q458_NPS_GROUP","Q458","Q459","Q460_1","Preference...Q1","Preference...Q1_4_TEXT","Preference...Q2","Preference...Q2_3_TEXT","Preference...Q3A","Preference...Q3B","Preference...Q3C","Q316","Q314","Q315","Q316.1","Q317","GenPolicy...Q1_1","GenPolicy...Q1_4","GenPolicy...Q3","Q439","Q439_4_TEXT","Q502","StartTime","aid","StartSection","TotalSection","WTP1","WTP2","WTP3","WTP0","Treated","FEMAText","SBAText","FEMA","SBA","Hypothetical.1"
"1","2025-02-25 08:30:20","2025-02-25 08:37:09","IP Address","69.125.65.30","100","408","True","2025-02-25 08:37:10","R_eo1t7iOyAXnA8Hn","","","","","41.8138","-73.1126","anonymous","EN","0.8999999761581421","","0","0","","I agree","65 or older","Yes","Own","CT","$25,000 to $49,999","No","White","","No","Male","High school or less","No","No","Detractor","3","","","","","","","","","","","","","","","","","","06795","2018","120000","Detractor","0","","No","Yes","I am not sure","","No","","No","True","I am not sure","Agree","Unlikely (25% – 49%)","$1,000 to $4,999","Between 2 months and 6 months","15","Unlikely (25% – 49%)","Between 2 weeks and 2 months","","","","","","","","","","32","621","No","No","No","","","","","","12","Detractor","2","Detractor","3","Detractor","4","$55","Strongly agree","Neither agree
nor disagree","Agree","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Passive","7","Yes","106","","","","","","","","","","","","","","","","","","Detractor","3","No","","","","","","Equal government assistance should go to people of all incomes.","","The government should help people rebuild in the same area with stronger, more resilient structures.","","Neither agreenor disagree","Agree","Agree","Agree","Disagree","Neither agreenor disagree","Agree","Agree","51","42","Only some of the time","Republican","","","","0e5a1c2d-24f5-4f0b-94fe-cb2442ae238fzqztmn","1","5","95","61","21","140","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","35","26","F"
"2","2025-02-25 09:29:19","2025-02-25 09:38:41","IP Address","99.54.100.157","100","562","True","2025-02-25 09:38:42","R_1OwTCrYi7CiCPD1","","","","","40.0233","-83.0859","anonymous","EN","0.8999999761581421","","0","0","","I agree","65 or older","Yes","Own","OH","$25,000 to $49,999","Yes","White","","No","Female","Bachelor's or more","No","No","Detractor","2","","","","","","","","","","","","","","","","","","43235","1979","60000","Detractor","4","Minor damage (1% – 25%)","No","Yes","I am not sure","","No","","No","True","I am not sure","Agree","Likely (50% – 74%)","$50,000 to $74,999","Between 2 months and 6 months","75","Likely (50% – 74%)","Between 2 months and 6 months","Yes","","","Yes","141","","","","","","","","","","","","","","","","Detractor","2","Detractor","4","Detractor","6","$5","Neither agree
nor disagree","Neither agree
nor disagree","Strongly agree","5","4","","","","","","","","","","Passive","8","No","","He failed to take homeowner precautions and so his decision caused his problem.","","","","","","","","","","","","","","","","","","","","","Passive","7","Yes","78","","","","","","","","","","","","","","","","","","","","","Government assistance should prioritize low-income households.","","The government should help people rebuild in the same area with stronger, more resilient structures.","","Agree","Agree","Neither agreenor disagree","Agree","Agree","Agree","Agree","Agree","40","9","Only some of the time","Democrat","","","","3014ca1d-083c-413a-a367-553e7144df98zqztmn","1","5","105","61","13","141","0","","","","","B"
"3","2025-02-25 09:40:18","2025-02-25 09:48:28","IP Address","69.113.252.5","100","490","True","2025-02-25 09:48:28","R_3saiIkbvG9P03ZQ","","","","","40.9589","-74.3052","anonymous","EN","0.8999999761581421","","0","0","","I agree","65 or older","Yes","Own","NJ","$75,000 to $99,999","Yes","White","","Yes","Female","Some college","No","No","Passive","8","","","","","","","","","","","","","","","","","","07876","1996","254000","Passive","8","Minor damage (1% – 25%)","No","Yes","Yes","","No","","No","True","True","Agree","Very likely (75% – 99%)","$50,000 to $74,999","Between 6 months and 1 year","73","Very likely (75% – 99%)","Between 6 months and 1 year","","","","","","","","","","88","845","Yes","","","No","","120","","","","Detractor","5","Detractor","6","Detractor","6","$55","Disagree","Disagree","Agree","5","4","","","","","","","","","","","","","","","","","","","","Detractor","6","Yes","206","","","","","","","","","","","","","","","","Passive","7","Yes","187","","","","","","","","","","","","","","","","","Government assistance should aim to fully compensate people for their uninsured losses, even if this means providing more assistance to households with more expensive properties.","","The government should help people rebuild in the same area with stronger, more resilient structures.","","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","81","16","Only some of the time","Republican","","","","8bee6e65-c27d-41e6-b482-011bbea6d6f5zqztmn","1","5","102","59","24","137","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","34","85","C"
"4","2025-02-25 09:40:37","2025-02-25 09:49:14","IP Address","68.224.112.216","100","517","True","2025-02-25 09:49:15","R_1FJt8sNYfzhNqRi","","","","","36.2973","-115.2418","anonymous","EN","0.8999999761581421","","0","0","","I agree","45 - 64","Yes","Own","NV","$50,000 to $74,999","No","White","","No","Female","Some college","No","No","Detractor","3","","","","","","","","","","","","","","","","","","89131","2020","199000","Detractor","2","Major damage (51% – 75%)","Yes","Yes","I am not sure","","I am not sure","","No","False","False","Agree","Very likely (75% – 99%)","I am not sure","Between 2 weeks and 2 months","75","Likely (50% – 74%)","Between 2 weeks and 2 months","No","No","Yes","","","","","15","","","","","","","","","","","","","Detractor","2","Detractor","4","Detractor","3","$5","Strongly disagree","Strongly disagree","Neither agree
nor disagree","5","4","Detractor","5","No","","","","","","","Detractor","5","No","","We all have to have insurance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Equal government assistance should go to people of all incomes.","","The government should help people rebuild in the same area with stronger, more resilient structures.","","Neither agreenor disagree","Neither agreenor disagree","Strongly disagree","Agree","Neither agreenor disagree","Agree","Neither agreenor disagree","Agree","41","10","Only some of the time","Republican","","","","e0e3ee40-d993-44f6-8747-b736af2691a3zqztmn","1","5","90","61","12","144","0","","","","","A"
"5","2025-02-25 09:44:42","2025-02-25 09:51:16","IP Address","172.59.218.9","100","394","True","2025-02-25 09:51:17","R_OwpdS8N9c2qQWL7","","","","","35.1936","-80.6865","anonymous","EN","0.699999988079071","","0","0","","I agree","65 or older","Yes","Own","NC","Less than $25,000","No","White","","No","Female","Some college","No","No","Detractor","3","","","","","","","","","","","","","","","","","","27030","2020","18000","Detractor","0","","No","No","","No","","","No","I am not sure","True","Agree","Very unlikely (0% – 24%)","$75,000","More than 2 years","52","Very unlikely (0% – 25%)","More than 2 years","No","No","No","","","","","","20","","","","","","","","","","","","Detractor","2","Detractor","2","Detractor","1","$60","Disagree","Strongly disagree","Agree","5","4","","","","","","","","","","","","","","","Detractor","1","Yes","183","","","","","","","","","","","","","","","","","Detractor","2","Yes","154","","","","","","","","","","","","","","","","","","","","","Equal government assistance should go to people of all incomes.","","The government should help people rebuild as they were before.","","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","94","22","Never","Republican","","","","5f8a55bc-3688-4fd4-85eb-ef242340777ezqztmn","1","5","96","67","22","142","0","","","","","B"
"6","2025-02-25 09:41:06","2025-02-25 09:51:38","IP Address","99.147.137.166","100","631","True","2025-02-25 09:51:38","R_2wmoeG1PnOLlXhU","","","","","32.8266","-96.7888","anonymous","EN","0.8999999761581421","","0","0","","I agree","45 - 64","Yes","Own","TX","$75,000 to $99,999","Yes","White","","No","Male","Bachelor's or more","No","No","Passive","7","","","","","","","","","","","","","","","","","","75219","2010","600000","Detractor","2","Minor damage (1% – 25%)","No","Yes","No","","No","","No","True","True","Agree","Likely (50% – 74%)","$10,000 to $29,999","Between 6 months and 1 year","30","Likely (50% – 74%)","Between 6 months and 1 year","Yes","","","Yes","250","","","","","","","","","","","","","","","","Detractor","6","Passive","8","Promoter","9","$55","Disagree","Neither agree
nor disagree","Disagree","5","4","","","","","","","","","","","","","","","","","","","","","","","","","Promoter","9","No","","why did he not take these preventive measures?","","","","","","","","","","","","","","Detractor","0","No","","","","","","","","","","","","","","Equal government assistance should go to people of all incomes.","","The government should provide direct financial aid and let individuals decide how to use it.","","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","15","15","Only some of the time","Republican","","","","d7c63dfd-aeff-4da4-8908-ae0bd5a8d1cdzqztmn","1","5","95","66","27","148","0","","","","","D"
"7","2025-02-25 09:39:48","2025-02-25 09:51:46","IP Address","107.197.122.17","100","717","True","2025-02-25 09:51:46","R_DT4nHNjJ5Fk3PZT","","","","","34.9446","-82.2214","anonymous","EN","0.8999999761581421","","0","0","","I agree","65 or older","Yes","Own","SC","$150,000 to $199,999","Yes","White","","No","Male","Bachelor's or more","No","Yes","Passive","7","2015","Other","wind","$1,000 – $9,999","100% (repaired everything)","I was aware of this program, but I did not apply","I did not need assistance","","","","","I was aware of this program, but I did not apply","I did not need assistance","","","","","","2023","439000","Detractor","0","","Yes","Yes","No","","No","","No","False","False","Agree","Certain (100%)","$50,000 to $74,999","Between 2 months and 6 months","33","Certain (100%)","Between 2 months and 6 months","","","","","","","","","","157","786","Yes","","","Yes","200","","","","","Detractor","5","Promoter","9","Passive","8","$55","Disagree","Disagree","Agree","5","4","","","","","Promoter","9","No","","The cost belongs to Sam as he did nothing to prevent the loss.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Detractor","5","Yes","200","Government assistance should aim to fully compensate people for their uninsured losses, even if this means providing more assistance to households with more expensive properties.","","The government should help people rebuild as they were before.","","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","40","20","Only some of the time","Democrat","","","","32652aa2-7fdb-44ac-83d9-a1f76f213b3czqztmn","2","6","102","64","30","145","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","34","85","G"
"8","2025-02-25 09:41:47","2025-02-25 09:52:27","IP Address","108.232.158.46","100","639","True","2025-02-25 09:52:28","R_1jOmwPZE4wk3h9p","","","","","33.9332","-83.3536","anonymous","EN","1","","0","0","","I agree","65 or older","Yes","Own","GA","$25,000 to $49,999","Yes","White","","No","Female","Some college","No","Yes","Passive","8","2016","Other","hurricane","$10,000 – $19,999","100% (repaired everything)","I was aware of this program, but I did not apply","Other (Please specify)","insurance covered it","","","","I was aware of this program, but I did not apply","I did not think I would qualify","","","","","30605","2012","101000","Passive","7","Minor damage (1% – 25%)","Yes","Yes","No","","No","","No","True","False","Agree","Very likely (75% – 99%)","I am not sure","Between 2 months and 6 months","51","Very likely (75% – 99%)","Between 2 weeks and 2 months","","","","","","","","","","41","831","Yes","","","Yes","200","","","","","Detractor","3","Passive","7","Passive","8","$55","Disagree","Disagree","Agree","5","4","","","","","Promoter","10","No","","he should have been better prepared","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Promoter","10","No","","","","","","","","","","Government assistance should prioritize low-income households.","","The government should help people rebuild in the same area with stronger, more resilient structures.","","Agree","Agree","Disagree","Agree","Disagree","Neither agreenor disagree","Neither agreenor disagree","Agree","21","0","Only some of the time","Republican","","","","95dbcf59-4ed4-4a88-84d1-72bfdb64965fzqztmn","2","6","104","52","23","137","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","35","60","E"
"9","2025-02-25 09:42:43","2025-02-25 09:53:09","IP Address","172.58.255.124","100","625","True","2025-02-25 09:53:10","R_2OJfzHZ3ScUGedx","","","","","35.2522","-80.8263","anonymous","EN","0.8999999761581421","","0","0","","I agree","45 - 64","Yes","Own","NC","Less than $25,000","Yes","Black or African American","","No","Male","Bachelor's or more","No","No","Detractor","6","","","","","","","","","","","","","","","","","","28364","1970","90000","Detractor","2","Minor damage (1% – 25%)","No","Yes","No","","No","","Yes","False","False","Agree","Unlikely (25% – 49%)","$10,000 to $29,999","Between 6 months and 1 year","26","Unlikely (25% – 49%)","Between 6 months and 1 year","","","","","","","","","","22","740","Yes","","","No","","100","","","","Promoter","10","Promoter","10","Promoter","9","$51","Disagree","Disagree","Agree","5","4","","","","","","","","","","","","","","","","","","","","Detractor","3","No","","ALEX SHOULD'VE INSTALLED A FIRE-RESISTANT ROOF.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Promoter","10","Yes","125","Equal government assistance should go to people of all incomes.","","The government should provide direct financial aid and let individuals decide how to use it.","","Disagree","Agree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","20","10","Only some of the time","Republican","","","","c64d03db-80f0-4f4e-ab07-8d58ac8718b7zqztmn","1","5","90","58","29","136","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","39","25","G"
"10","2025-02-25 09:40:30","2025-02-25 09:53:38","IP Address","99.10.122.66","100","788","True","2025-02-25 09:53:39","R_1kZEKh57SxbLlAs","","","","","32.8595","-117.2124","anonymous","EN","0.8999999761581421","","0","0","","I agree","65 or older","Yes","Own","CA","$75,000 to $99,999","Yes","White","","No","Female","Bachelor's or more","No","No","Detractor","5","","","","","","","","","","","","","","","","","","92037","1994","0","Passive","7","Moderate damage (26% – 50%)","No","Yes","I am not sure","","No","","No","True","False","Agree","I am not sure","I am not sure","Between 6 months and 1 year","36","I am not sure","Between 6 months and 1 year","","","","","","","","","","94","810","Yes","","","Yes","200","","","","","Detractor","1","Promoter","9","Detractor","6","$55","Strongly disagree","Strongly disagree","Agree","5","4","","","","","","","","","","","","","","","","","","","","","","","","","Promoter","10","No","","he should have had insurance","","","","","","","","","","","","","","","","","","Promoter","10","No","","","","","","","","","","Government assistance should prioritize low-income households.","","Other (please specify):","dont know","Agree","Agree","Strongly disagree","Neither agreenor disagree","Neither agreenor disagree","Agree","Neither agreenor disagree","Neither agreenor disagree","30","8","Never","Democrat","","","","8100b344-0597-49b0-91c3-889193070459zqztmn","1","5","105","51","27","144","1","Your chance of approval for a FEMA grant","Your chance of approval for an SBA disaster loan","34","85","E"
